DateTime,AddedIPs,RemovedIPs
1489032624,2,2
1489036150,1,1
1489039850,1,0
1489046835,1,0
1489054183,1,0
1489061370,0,1
1489065007,1,0
1489068665,0,1
1489072035,0,1
1489076013,0,1
1489079343,1,0
1489090415,1,0
1489109890,1,0
1489133472,0,1
1489147642,1,0
1489198394,0,1
1489201473,1,0
1489215858,0,1
1489230255,1,0
1489284272,0,1
1489287865,1,0
1489305863,0,1
1489309466,1,0
1489327480,0,1
1489334659,1,0
1489352667,0,1
1489356274,1,0
1489370646,0,1
1489374254,1,0
1489381447,0,1
1489385052,1,0
1489403051,0,1
1489406656,1,0
1489435461,0,1
1489442645,1,0
1489457051,0,1
1489460653,1,0
1489478652,0,1
1489482256,1,0
1489539857,0,1
1489543456,1,0
1489583056,0,1
1489586656,0,1
1489590272,2,0
1489597458,0,1
1489615461,0,1
1489629860,1,0
1489644256,0,1
1489647840,1,0
1489665852,0,1
1489669456,1,0
1489676734,1,0
1489698268,0,1
1489701847,1,0
1489716251,0,1
1489719846,1,0
1489752228,0,1
1489755835,1,0
1489784641,0,1
1489788238,1,0
1489809912,0,1
1489914285,0,1
1489917893,1,0
1489935886,0,1
1489939506,1,0
1489957497,0,1
1489961084,1,0
1489975821,0,1
1489979411,1,0
1490022624,0,1
1490025895,1,0
1490051094,0,1
1490058301,1,0
1490119497,0,1
1490123085,1,0
1490144702,0,1
1490148298,1,0
1490198788,0,1
1490202304,1,0
1490238274,0,1
1490249068,1,0
1490289090,0,1
1490292808,1,0
1490324678,0,1
1490328279,0,1
1490331871,2,0
1490360670,0,1
1490364267,1,0
1490400295,0,1
1490403879,1,0
1490447086,0,1
1490475886,0,1
1490479466,1,0
1490522671,0,1
1490526278,1,0
1490529876,0,1
1490533466,1,0
1490594808,1,0
1490637868,0,1
1490641475,1,0
1490663078,0,1
1490760297,1,0
1490778303,0,1
1490781889,1,0
1490897097,0,1
1490900684,1,0
1490947510,0,1
1490951098,1,0
1491030281,0,1
1491033891,1,0
1491087903,0,1
1491098706,1,0
1491159903,0,1
1491163496,1,0
1491177934,0,1
1491185074,1,0
1491199489,0,1
1491203089,1,0
1491242679,0,1
1491246522,1,0
1491271475,0,1
1491278686,1,0
1491296674,0,1
1491300287,1,0
1491343553,0,1
1491347240,1,0
1491372266,0,1
1491379468,1,0
1491390261,0,1
1491393868,1,0
1491426728,0,1
1491430101,1,0
1491469476,0,1
1491483878,1,0
1491498365,0,1
1491501884,0,2
1491505478,1,0
1491509081,2,0
1491534270,0,1
1491541766,1,0
1491566682,0,1
1491573873,1,0
1491642283,0,1
1491645896,1,0
1491692698,0,1
1491696332,1,0
1491710686,0,1
1491714276,1,0
1491725092,0,1
1491728689,1,0
1491732302,0,1
1491735897,1,0
1491764680,0,1
1491775502,1,0
1491789890,0,1
1491793478,1,0
1491807906,0,1
1491811485,1,0
1491829488,0,1
1491833127,1,0
1491847592,0,1
1491851233,1,0
1491876304,0,1
1491879891,1,0
1491962695,0,1
1491966309,1,0
1491980679,0,1
1491987893,1,0
1492031099,0,1
1492034685,1,0
1492056277,0,1
1492067069,1,0
1492085077,0,1
1492089221,1,0
1492113925,0,1
1492117638,1,0
1492131868,0,1
1492135465,1,0
1492243469,0,1
1492250672,1,0
1492279471,0,1
1492283092,1,0
1492322665,0,1
1492326283,1,0
